N;Direct;Reverse;Random
1000;14;5;4
1050;4;4;4
1102;4;4;5
1157;4;4;4
1214;4;5;4
1274;6;7;6
1337;7;5;4
1403;4;4;4
1473;4;4;4
1546;4;4;9
1623;4;4;4
1704;4;4;4
1789;4;4;4
1878;4;5;4
1971;4;5;4
2069;5;5;4
2172;4;4;4
2280;4;4;4
2394;4;5;4
2513;4;5;4
2638;4;4;4
2769;4;4;4
2907;4;4;4
3052;5;4;4
3204;4;4;4
3364;4;4;4
3532;4;4;5
3708;4;4;4
3893;5;4;4
4087;4;4;4
4291;4;4;4
4505;4;4;4
4730;4;4;4
4966;4;4;4
5214;4;4;4
5474;4;4;4
5747;4;4;4
6034;4;4;5
6335;4;4;4
6651;4;4;4
6983;4;4;4
7332;4;4;4
7698;4;4;4
8082;4;4;4
8486;4;4;5
8910;4;4;5
9355;4;4;5
9822;5;5;6
10313;5;4;6
10828;4;4;6
11369;4;4;7
11937;4;4;7
12533;4;4;7
13159;4;4;7
13816;4;4;7
14506;4;4;7
15231;4;4;8
15992;4;4;8
16791;4;4;8
17630;4;4;8
18511;4;4;8
19436;4;4;8
20407;4;4;9
21427;4;4;9
22498;4;4;9
23622;4;4;9
24803;4;4;9
26043;4;4;9
27345;4;4;9
28712;5;4;9
30147;4;4;9
31654;4;4;9
33236;4;4;9
34897;4;4;10
36641;4;4;10
38473;4;4;10
40396;4;4;10
42415;4;4;10
44535;4;4;10
46761;5;4;10
49099;5;5;11
51553;5;5;12
54130;5;5;13
56836;4;4;12
59677;5;4;12
62660;5;4;13
65793;4;4;13
69082;4;4;15
72536;4;4;15
76162;4;4;16
79970;4;4;17
83968;5;4;17
88166;4;4;18
92574;4;4;19
97202;4;4;20
102062;4;4;21
107165;4;4;22
112523;4;4;25
118149;4;4;24
124056;5;4;25
130258;4;4;25
136770;4;4;26
143608;4;4;26
150788;5;4;27
158327;4;4;27
166243;4;4;28
174555;4;4;28
183282;4;4;29
192446;4;4;30
202068;4;4;31
212171;4;4;30
222779;4;4;31
233917;4;4;31
245612;4;4;32
257892;4;4;32
270786;4;4;32
284325;4;4;33
298541;4;4;33
313468;4;4;34
329141;4;4;35
345598;4;4;34
362877;5;4;35
381020;4;4;35
400071;4;4;35
420074;4;4;35
441077;4;4;37
463130;5;4;38
486286;5;4;39
510600;5;5;41
536130;5;5;42
562936;5;4;45
591082;5;5;46
620636;5;5;48
651667;5;5;45
684250;4;4;46
718462;4;5;48
754385;5;5;52
792104;5;5;55
831709;5;5;57
873294;5;5;61
916958;5;5;66
962805;5;5;71
1010945;5;5;75
1061492;5;5;81
