N;Direct;Reverse;Random
1000;6;5;5
1050;5;5;4
1102;4;4;4
1157;5;5;7
1214;5;4;5
1274;5;4;4
1337;4;4;4
1403;4;4;4
1473;4;4;4
1546;4;4;4
1623;4;4;5
1704;4;5;4
1789;4;4;4
1878;4;4;4
1971;5;5;4
2069;5;6;6
2172;6;5;5
2280;5;5;5
2394;4;5;5
2513;4;4;5
2638;4;4;4
2769;4;4;4
2907;4;4;4
3052;4;4;4
3204;4;5;4
3364;4;4;5
3532;4;4;4
3708;5;5;4
3893;4;4;5
4087;4;4;5
4291;4;4;5
4505;5;4;5
4730;4;4;5
4966;4;5;6
5214;4;4;6
5474;4;4;6
5747;5;4;7
6034;5;4;7
6335;4;4;7
6651;5;4;7
6983;4;4;8
7332;5;4;8
7698;4;4;8
8082;5;4;8
8486;4;4;8
8910;4;4;8
9355;4;4;9
9822;4;4;8
10313;4;5;9
10828;4;4;9
11369;4;4;9
11937;5;4;10
12533;4;5;9
13159;4;4;9
13816;4;4;9
14506;4;5;9
15231;4;4;9
15992;4;4;9
16791;4;4;9
17630;4;4;10
18511;4;4;10
19436;4;4;10
20407;4;4;10
21427;4;4;10
22498;4;4;10
23622;4;4;11
24803;4;5;11
26043;4;4;11
27345;4;5;12
28712;4;4;15
30147;4;4;13
31654;4;4;14
33236;4;4;14
34897;5;5;15
36641;4;4;16
38473;4;5;17
40396;4;4;17
42415;4;5;19
44535;5;5;19
46761;4;4;22
49099;4;5;21
51553;4;4;24
54130;4;4;24
56836;4;4;24
59677;5;5;24
62660;4;4;25
65793;4;4;26
69082;4;4;26
72536;4;4;28
76162;4;5;30
79970;4;4;28
83968;4;5;28
88166;4;5;30
92574;4;4;30
97202;4;4;30
102062;4;5;31
107165;4;4;31
112523;4;4;32
118149;5;5;32
124056;5;4;33
130258;4;5;34
136770;4;4;33
143608;4;4;33
150788;4;4;34
158327;4;4;34
166243;4;4;34
174555;5;4;35
183282;4;5;35
192446;4;4;36
202068;4;5;35
212171;5;4;36
222779;4;5;36
233917;4;5;36
245612;5;5;37
257892;4;5;38
270786;4;5;41
284325;4;5;40
298541;5;5;43
313468;5;5;43
329141;5;5;48
345598;5;5;48
362877;5;5;51
381020;5;5;54
400071;5;5;60
420074;5;5;63
441077;5;5;69
463130;5;5;74
486286;5;5;79
510600;5;5;83
536130;5;5;86
562936;5;5;92
591082;5;5;96
620636;5;5;100
651667;5;5;107
684250;5;5;112
718462;5;5;112
754385;5;5;115
792104;5;5;118
831709;5;5;122
873294;5;5;125
916958;5;5;129
962805;5;5;132
1010945;5;5;139
1061492;5;5;141
